těšínská,,batalion,,Apoštolská
Ráda se miluje,,bedna od whisky,,Boží radost jako řeka
nagasaki hirošima,,čarodějnice z amesbury,,Bůh je záštita má
Tak už mi má holka mává,,dál dál dál,,Effatha
amazonka,,darmoděj,,Hosana
Pověste ho vejš,,desperát II,,Jsem všechno co nemáš
stýskání,,divoké koně,,Laudato si
Rosa na kolejích,,dva havrani,,Modlitba sv. Tomáše
o zlaté rybce,,fi-li-mi,,Na Golgotu
Zatanči,,frankie dlouhán,,Nám pane dal jsi slovo své
Soudný den,,hlídač krav,,Neseme pane chléb a víno
house of the rising sun,,hospoda u davida,,Ó pane zhasíná den
Černá díra,,hrobař,,Pojď ke mně blíž
Petěrburg,,hučka,,Pojďte ke mně všichni
černej pasažér,,hudsonský šífy,,Prosba k Duchu svatému
jdem zpátky do lesů,,jarní tání,,Přijímám
Toulavej,,jaro,,Přijmi pane
Drunken Sailor,,jasný jak facka,,Připravujte cestu
ešus (kumšt),,jdou po mě jdou,,Půjdeš-li pouští
oslík(záviš)?,,když mě brali za vojáka,,Slunce kristovy lásky
Jarní kurýr,,kluziště,,Spoj nás v jedno
Keine Angst sie lebt,,kometa,,Světem běžím dál
Barbarské pobřeží,,kozel,,Tobě patří chvála
trajda copatá,,lord willoughby,,Svorni jsme
lokomotiva,,marsyas a apollon,,Vše co mohu dát
hruška,,mezi horami,,Svý kroky rozezpívej
Scarborough fair,,morituri te salutant,,Vychází
Ho ho watanay,,mumie,,Zde jsem
Dej mi víc své lásky,,nosorožec,,Ordinárium !
Bratříčku zavírej vrátka,,o malém rytíři,,
"Zabili, zabili",,ohníčky,,
pohár a kalich,,omnia vincit amor,,
růže z papíru,,pánové nahoře,,
Johnny I hardly knew ye,,pískající cikán,,
Krtek,,pošťák,,
Studený nohy,,prasátko,,
Já na tom dělám,,rána v trávě,,
"Take me home, country roads",,ryl jen celej den ryl,,
I wonder,,sáro,,
Mlýny,,severní vítr,,
Co když,,sirka,,
prší,,slavíci z madridu,,
tears in heaven,,tereza,,
cestou do Jenkovic,,topič,,
Tisíc dnů mezi námi,,topoly,,
Donald mcGillavry,,trampská,,
Seminole wind,,tři kříže,,
Tipperary,,tulácký ráno,,
To ta helpa,,už to nenapravím,,
Montgomery,,válka růží,,
IF i had a hammer,,velrybářská výprava,,
Já s tebou žít nebudu,,vlajka,,
Bláznova ukolébavka,,vstávej holka,,
Báje v nás,,zafúkané,,
,,zítra ráno v pět,,
